Date,Open,High,Low,Close,Volume
2021-02-12 00:30:00,1.21303,1.21349,1.21247,1.21273,5879
2021-02-12 04:30:00,1.21271,1.21317,1.21186,1.21313,6755
2021-02-12 08:30:00,1.21313,1.21314,1.21003,1.21083,12296
2021-02-12 12:30:00,1.21081,1.21148,1.20843,1.20871,11469
2021-02-12 16:30:00,1.20871,1.21289,1.20815,1.21232,13842
2021-02-12 20:30:00,1.21231,1.21262,1.21132,1.21177,5085
2021-02-15 00:30:00,1.2123,1.21285,1.21167,1.21271,4762
2021-02-15 04:30:00,1.2127,1.21404,1.21256,1.21378,5568
2021-02-15 08:30:00,1.21379,1.21452,1.21308,1.21347,11408
2021-02-15 12:30:00,1.21347,1.21406,1.21241,1.21268,7907
2021-02-15 16:30:00,1.21269,1.2138,1.21208,1.21309,7646
2021-02-15 20:30:00,1.2131,1.21346,1.21255,1.21274,2560
2021-02-16 00:30:00,1.21271,1.21467,1.21248,1.21426,5451
2021-02-16 04:30:00,1.21426,1.21504,1.21328,1.21366,6021
2021-02-16 08:30:00,1.21365,1.21574,1.21283,1.21526,11394
2021-02-16 12:30:00,1.21527,1.21694,1.21065,1.21084,14614
2021-02-16 16:30:00,1.21084,1.21237,1.20949,1.21089,20618
2021-02-16 20:30:00,1.21089,1.21179,1.21034,1.21053,4917
2021-02-17 00:30:00,1.21047,1.21089,1.20832,1.20928,9511
2021-02-17 04:30:00,1.20929,1.20982,1.20859,1.2093,7201
2021-02-17 08:30:00,1.20932,1.20935,1.20598,1.20678,15332
2021-02-17 12:30:00,1.20679,1.20693,1.20305,1.20337,14701
2021-02-17 16:30:00,1.20337,1.20476,1.20234,1.20451,17858
2021-02-17 20:30:00,1.20451,1.20456,1.20344,1.20374,5394
2021-02-18 00:30:00,1.20351,1.205,1.2035,1.20445,6254
2021-02-18 04:30:00,1.20445,1.20466,1.20356,1.20457,5663
2021-02-18 08:30:00,1.20455,1.20751,1.20362,1.20734,11699
2021-02-18 12:30:00,1.20734,1.20897,1.20624,1.20846,14822
2021-02-18 16:30:00,1.20845,1.20863,1.20619,1.20819,17497
2021-02-18 20:30:00,1.20819,1.20944,1.20796,1.20908,4575
2021-02-19 00:30:00,1.20908,1.20983,1.20856,1.20878,6446
2021-02-19 04:30:00,1.20878,1.20962,1.20823,1.20941,6635
2021-02-19 08:30:00,1.20941,1.21415,1.20909,1.21339,13467
2021-02-19 12:30:00,1.21339,1.21443,1.21261,1.21308,13968
2021-02-19 16:30:00,1.21307,1.214,1.21175,1.21269,13434
2021-02-19 20:30:00,1.21271,1.21277,1.21078,1.21163,5933
2021-02-22 00:30:00,1.21124,1.21355,1.21124,1.21265,8084
2021-02-22 04:30:00,1.21264,1.21293,1.21124,1.21202,6983
2021-02-22 08:30:00,1.21203,1.21243,1.20912,1.21082,15038
2021-02-22 12:30:00,1.21082,1.21544,1.21079,1.21474,13359
2021-02-22 16:30:00,1.21473,1.21677,1.21291,1.21654,18206
2021-02-22 20:30:00,1.21654,1.21694,1.21506,1.21554,4991
2021-02-23 00:30:00,1.21564,1.21771,1.21538,1.21755,6008
2021-02-23 04:30:00,1.21755,1.2177,1.21647,1.21702,4853
2021-02-23 08:30:00,1.21702,1.21802,1.21452,1.21491,12435
2021-02-23 12:30:00,1.21491,1.21582,1.21354,1.21492,13744
2021-02-23 16:30:00,1.21491,1.21663,1.21353,1.2146,20626
2021-02-23 20:30:00,1.2146,1.21576,1.21419,1.21493,7010
2021-02-24 00:30:00,1.21493,1.21661,1.21428,1.21586,11081
2021-02-24 04:30:00,1.21587,1.21623,1.21454,1.2148,10048
