Date,Open,High,Low,Close,Volume
1998-04-20 03:30:00,0.5549,0.5549,0.5549,0.5549,1
1998-04-21 03:30:00,0.5604,0.5604,0.5604,0.5604,1
1998-04-22 03:30:00,0.5598,0.5598,0.5598,0.5598,1
1998-04-23 03:30:00,0.5622,0.5622,0.5622,0.5622,1
1998-04-24 03:30:00,0.561,0.561,0.561,0.561,1
1998-04-27 03:30:00,0.5543,0.5543,0.5543,0.5543,1
1998-04-28 03:30:00,0.5516,0.5516,0.5516,0.5516,1
1998-04-29 03:30:00,0.5538,0.5538,0.5538,0.5538,1
1998-04-30 03:30:00,0.5558,0.5558,0.5558,0.5558,1
1998-05-01 03:30:00,0.5558,0.5558,0.5558,0.5558,1
1998-05-04 03:30:00,0.554,0.554,0.554,0.554,1
1998-05-05 03:30:00,0.5521,0.5521,0.5521,0.5521,1
1998-05-06 03:30:00,0.5456,0.5456,0.5456,0.5456,1
1998-05-07 03:30:00,0.5434,0.5434,0.5434,0.5434,1
1998-05-08 03:30:00,0.5433,0.5433,0.5433,0.5433,1
1998-05-11 03:30:00,0.5412,0.5412,0.5412,0.5412,1
1998-05-12 03:30:00,0.5372,0.5372,0.5372,0.5372,1
1998-05-13 03:30:00,0.535,0.535,0.535,0.535,1
1998-05-14 03:30:00,0.5346,0.5346,0.5346,0.5346,1
1998-05-15 03:30:00,0.5357,0.5357,0.5357,0.5357,1
1998-05-19 03:30:00,0.5313,0.5313,0.5313,0.5313,1
1998-05-20 03:30:00,0.533,0.533,0.533,0.533,1
1998-05-21 03:30:00,0.536,0.536,0.536,0.536,1
1998-05-22 03:30:00,0.5364,0.5364,0.5364,0.5364,1
1998-05-25 03:30:00,0.5308,0.5308,0.5308,0.5308,1
1998-05-26 03:30:00,0.5355,0.5355,0.5355,0.5355,1
1998-05-27 03:30:00,0.5335,0.5335,0.5335,0.5335,1
1998-05-28 03:30:00,0.5327,0.5327,0.5327,0.5327,1
1998-05-29 03:30:00,0.5366,0.5366,0.5366,0.5366,1
1998-06-01 03:30:00,0.529,0.529,0.529,0.529,1
1998-06-02 03:30:00,0.5242,0.5242,0.5242,0.5242,1
1998-06-03 03:30:00,0.5254,0.5254,0.5254,0.5254,1
1998-06-04 03:30:00,0.5245,0.5245,0.5245,0.5245,1
1998-06-05 03:30:00,0.5128,0.5128,0.5128,0.5128,1
1998-06-08 03:30:00,0.5089,0.5089,0.5089,0.5089,1
1998-06-09 03:30:00,0.5073,0.5073,0.5073,0.5073,1
1998-06-10 03:30:00,0.4995,0.4995,0.4995,0.4995,1
1998-06-11 03:30:00,0.4977,0.4977,0.4977,0.4977,1
1998-06-12 03:30:00,0.5019,0.5019,0.5019,0.5019,1
1998-06-15 03:30:00,0.4964,0.4964,0.4964,0.4964,1
1998-06-16 03:30:00,0.4982,0.4982,0.4982,0.4982,1
1998-06-17 03:30:00,0.5189,0.5189,0.5189,0.5189,1
1998-06-18 03:30:00,0.5182,0.5182,0.5182,0.5182,1
1998-06-19 03:30:00,0.5307,0.5307,0.5307,0.5307,1
1998-06-22 03:30:00,0.5181,0.5181,0.5181,0.5181,1
1998-06-23 03:30:00,0.5097,0.5097,0.5097,0.5097,1
1998-06-24 03:30:00,0.5174,0.5174,0.5174,0.5174,1
1998-06-25 03:30:00,0.5154,0.5154,0.5154,0.5154,1
1998-06-26 03:30:00,0.5049,0.5049,0.5049,0.5049,1
1998-06-29 03:30:00,0.507,0.507,0.507,0.507,1
1998-06-30 03:30:00,0.5207,0.5207,0.5207,0.5207,1
1998-07-02 03:30:00,0.5135,0.5135,0.5135,0.5135,1
1998-07-03 03:30:00,0.5187,0.5187,0.5187,0.5187,1
1998-07-06 03:30:00,0.5166,0.5166,0.5166,0.5166,1
1998-07-07 03:30:00,0.5215,0.5215,0.5215,0.5215,1
1998-07-08 03:30:00,0.5177,0.5177,0.5177,0.5177,1
1998-07-09 03:30:00,0.5133,0.5133,0.5133,0.5133,1
1998-07-10 03:30:00,0.5148,0.5148,0.5148,0.5148,1
1998-07-13 03:30:00,0.5179,0.5179,0.5179,0.5179,1
1998-07-14 03:30:00,0.525,0.525,0.525,0.525,1
1998-07-15 03:30:00,0.5233,0.5233,0.5233,0.5233,1
1998-07-16 03:30:00,0.5268,0.5268,0.5268,0.5268,1
1998-07-17 03:30:00,0.5278,0.5278,0.5278,0.5278,1
1998-07-20 03:30:00,0.5271,0.5271,0.5271,0.5271,1
1998-07-21 03:30:00,0.5273,0.5273,0.5273,0.5273,1
1998-07-22 03:30:00,0.5212,0.5212,0.5212,0.5212,1
1998-07-23 03:30:00,0.5175,0.5175,0.5175,0.5175,1
1998-07-24 03:30:00,0.5179,0.5179,0.5179,0.5179,1
1998-07-27 03:30:00,0.512,0.512,0.512,0.512,1
1998-07-28 03:30:00,0.5144,0.5144,0.5144,0.5144,1
1998-07-29 03:30:00,0.5144,0.5144,0.5144,0.5144,1
1998-07-30 03:30:00,0.5176,0.5176,0.5176,0.5176,1
1998-07-31 03:30:00,0.5122,0.5122,0.5122,0.5122,1
1998-08-04 03:30:00,0.5145,0.5145,0.5145,0.5145,1
1998-08-05 03:30:00,0.5166,0.5166,0.5166,0.5166,1
1998-08-06 03:30:00,0.5159,0.5159,0.5159,0.5159,1
1998-08-07 03:30:00,0.5097,0.5097,0.5097,0.5097,1
1998-08-10 03:30:00,0.5081,0.5081,0.5081,0.5081,1
1998-08-11 03:30:00,0.5019,0.5019,0.5019,0.5019,1
1998-08-12 03:30:00,0.5031,0.5031,0.5031,0.5031,1
1998-08-13 03:30:00,0.5043,0.5043,0.5043,0.5043,1
1998-08-14 03:30:00,0.5042,0.5042,0.5042,0.5042,1
1998-08-17 03:30:00,0.5047,0.5047,0.5047,0.5047,1
1998-08-18 03:30:00,0.5037,0.5037,0.5037,0.5037,1
1998-08-19 03:30:00,0.504,0.504,0.504,0.504,1
1998-08-20 03:30:00,0.4994,0.4994,0.4994,0.4994,1
1998-08-21 03:30:00,0.4932,0.4932,0.4932,0.4932,1
1998-08-24 03:30:00,0.4921,0.4921,0.4921,0.4921,1
1998-08-25 03:30:00,0.4919,0.4919,0.4919,0.4919,1
1998-08-26 03:30:00,0.4913,0.4913,0.4913,0.4913,1
1998-08-27 03:30:00,0.4868,0.4868,0.4868,0.4868,1
1998-08-28 03:30:00,0.4936,0.4936,0.4936,0.4936,1
1998-08-31 03:30:00,0.4961,0.4961,0.4961,0.4961,1
1998-09-01 03:30:00,0.5077,0.5077,0.5077,0.5077,1
1998-09-02 03:30:00,0.5044,0.5044,0.5044,0.5044,1
1998-09-03 03:30:00,0.5021,0.5021,0.5021,0.5021,1
1998-09-04 03:30:00,0.5065,0.5065,0.5065,0.5065,1
1998-09-08 03:30:00,0.5104,0.5104,0.5104,0.5104,1
1998-09-09 03:30:00,0.5083,0.5083,0.5083,0.5083,1
1998-09-10 03:30:00,0.5152,0.5152,0.5152,0.5152,1
1998-09-11 03:30:00,0.5213,0.5213,0.5213,0.5213,1
1998-09-14 03:30:00,0.5141,0.5141,0.5141,0.5141,1
1998-09-15 03:30:00,0.5133,0.5133,0.5133,0.5133,1
1998-09-16 03:30:00,0.5074,0.5074,0.5074,0.5074,1
1998-09-17 03:30:00,0.5104,0.5104,0.5104,0.5104,1
1998-09-18 03:30:00,0.5049,0.5049,0.5049,0.5049,1
1998-09-21 03:30:00,0.5013,0.5013,0.5013,0.5013,1
1998-09-22 03:30:00,0.4965,0.4965,0.4965,0.4965,1
1998-09-23 03:30:00,0.491,0.491,0.491,0.491,1
1998-09-24 03:30:00,0.4951,0.4951,0.4951,0.4951,1
1998-09-25 03:30:00,0.4971,0.4971,0.4971,0.4971,1
1998-09-28 03:30:00,0.495,0.495,0.495,0.495,1
1998-09-29 03:30:00,0.5032,0.5032,0.5032,0.5032,1
1998-09-30 03:30:00,0.501,0.501,0.501,0.501,1
1998-10-01 03:30:00,0.5039,0.5039,0.5039,0.5039,1
1998-10-02 03:30:00,0.4995,0.4995,0.4995,0.4995,1
1998-10-05 03:30:00,0.4968,0.4968,0.4968,0.4968,1
1998-10-06 03:30:00,0.4953,0.4953,0.4953,0.4953,1
1998-10-07 03:30:00,0.5122,0.5122,0.5122,0.5122,1
1998-10-08 03:30:00,0.5202,0.5202,0.5202,0.5202,1
1998-10-09 03:30:00,0.5231,0.5231,0.5231,0.5231,1
1998-10-13 03:30:00,0.541,0.541,0.541,0.541,1
1998-10-14 03:30:00,0.5405,0.5405,0.5405,0.5405,1
1998-10-15 03:30:00,0.5324,0.5324,0.5324,0.5324,1
1998-10-16 03:30:00,0.5369,0.5369,0.5369,0.5369,1
1998-10-19 03:30:00,0.5358,0.5358,0.5358,0.5358,1
1998-10-20 03:30:00,0.5271,0.5271,0.5271,0.5271,1
1998-10-21 03:30:00,0.5266,0.5266,0.5266,0.5266,1
1998-10-22 03:30:00,0.5268,0.5268,0.5268,0.5268,1
1998-10-26 03:30:00,0.5237,0.5237,0.5237,0.5237,1
1998-10-27 03:30:00,0.521,0.521,0.521,0.521,1
1998-10-28 03:30:00,0.523,0.523,0.523,0.523,1
1998-10-29 03:30:00,0.5268,0.5268,0.5268,0.5268,1
1998-10-30 03:30:00,0.5301,0.5301,0.5301,0.5301,1
1998-11-02 03:30:00,0.5316,0.5316,0.5316,0.5316,1
