Date,Open,High,Low,Close,Volume
2025-05-26 00:45:00,1.37324,1.37326,1.37316,1.37326,12
2025-05-26 01:00:00,1.37304,1.37384,1.37285,1.37293,184
2025-05-26 01:15:00,1.37292,1.37299,1.37276,1.37279,44
2025-05-26 01:30:00,1.37211,1.373,1.37203,1.37215,536
2025-05-26 01:45:00,1.37213,1.373,1.37208,1.37257,616
2025-05-26 02:00:00,1.37257,1.37309,1.37242,1.3727,543
2025-05-26 02:15:00,1.3727,1.37315,1.37247,1.37313,427
2025-05-26 02:30:00,1.37312,1.37352,1.37263,1.37272,418
2025-05-26 02:45:00,1.37272,1.37284,1.37248,1.37276,252
2025-05-26 03:00:00,1.37277,1.37312,1.37274,1.37306,348
2025-05-26 03:15:00,1.37306,1.37386,1.37305,1.37366,429
2025-05-26 03:30:00,1.37366,1.37366,1.3731,1.37352,809
2025-05-26 03:45:00,1.37352,1.37355,1.37237,1.37246,953
2025-05-26 04:00:00,1.37246,1.37263,1.37226,1.37256,556
2025-05-26 04:15:00,1.37256,1.37263,1.37189,1.37189,519
2025-05-26 04:30:00,1.3719,1.37225,1.37189,1.37211,733
2025-05-26 04:45:00,1.3721,1.3721,1.37125,1.37127,735
2025-05-26 05:00:00,1.37127,1.37174,1.37059,1.3706,883
2025-05-26 05:15:00,1.3706,1.37061,1.36952,1.36961,806
2025-05-26 05:30:00,1.36961,1.36982,1.36902,1.36954,858
2025-05-26 05:45:00,1.36954,1.36991,1.3692,1.36942,679
2025-05-26 06:00:00,1.36942,1.3698,1.3693,1.36971,538
2025-05-26 06:15:00,1.36971,1.36992,1.36939,1.36983,605
2025-05-26 06:30:00,1.36983,1.36995,1.36939,1.36982,591
2025-05-26 06:45:00,1.36981,1.37014,1.36981,1.37,404
2025-05-26 07:00:00,1.37001,1.37011,1.36984,1.37004,355
2025-05-26 07:15:00,1.37004,1.37025,1.36989,1.37006,333
2025-05-26 07:30:00,1.37006,1.3703,1.36997,1.37023,397
2025-05-26 07:45:00,1.37024,1.37069,1.3702,1.37059,494
2025-05-26 08:00:00,1.37059,1.37074,1.37036,1.37047,447
2025-05-26 08:15:00,1.37047,1.37054,1.37002,1.37054,417
2025-05-26 08:30:00,1.37055,1.37058,1.37028,1.37038,633
2025-05-26 08:45:00,1.37037,1.37057,1.37016,1.3705,564
2025-05-26 09:00:00,1.3705,1.37086,1.37041,1.37053,421
2025-05-26 09:15:00,1.37053,1.37056,1.36962,1.37034,788
2025-05-26 09:30:00,1.37034,1.37062,1.36942,1.36967,769
2025-05-26 09:45:00,1.36965,1.36977,1.3692,1.36928,675
2025-05-26 10:00:00,1.36927,1.36937,1.36882,1.36884,562
2025-05-26 10:15:00,1.36884,1.36937,1.36864,1.36924,680
2025-05-26 10:30:00,1.36925,1.37058,1.36906,1.37033,855
2025-05-26 10:45:00,1.37032,1.37099,1.36995,1.37087,828
2025-05-26 11:00:00,1.37087,1.37117,1.37046,1.3706,809
2025-05-26 11:15:00,1.3706,1.37096,1.37033,1.37033,720
2025-05-26 11:30:00,1.37033,1.37072,1.36983,1.3701,716
2025-05-26 11:45:00,1.37009,1.37111,1.37003,1.37102,666
2025-05-26 12:00:00,1.37103,1.37143,1.37074,1.37101,543
2025-05-26 12:15:00,1.37101,1.37148,1.37051,1.37144,686
2025-05-26 12:30:00,1.37143,1.37171,1.37126,1.37137,566
2025-05-26 12:45:00,1.37137,1.37166,1.37107,1.37155,622
2025-05-26 13:00:00,1.37155,1.37202,1.37151,1.37182,569
2025-05-26 13:15:00,1.37182,1.37218,1.37178,1.37207,540
2025-05-26 13:30:00,1.37207,1.37232,1.37179,1.37183,459
2025-05-26 13:45:00,1.37183,1.37192,1.37134,1.37192,455
2025-05-26 14:00:00,1.37192,1.37205,1.37165,1.372,466
